日付,天気,売り上げ
2020-01-01,雨,108323
2020-01-02,くもり,133767
2020-01-03,くもり,136882
2020-01-04,くもり,150131
2020-01-05,くもり,153507
2020-01-06,くもり,131375
2020-01-07,くもり,126443
2020-01-08,くもり,117695
2020-01-09,くもり,141282
2020-01-10,晴れ,168174
2020-01-11,晴れ,167868
2020-01-12,晴れ,159777
2020-01-13,晴れ,150834
2020-01-14,晴れ,144201
2020-01-15,くもり,128294
2020-01-16,くもり,128971
2020-01-17,くもり,141258
2020-01-18,くもり,153741
2020-01-19,晴れ,152392
2020-01-20,くもり,121333
2020-01-21,くもり,127760
2020-01-22,晴れ,149282
2020-01-23,晴れ,144600
2020-01-24,くもり,153878
2020-01-25,くもり,155441
2020-01-26,くもり,143077
2020-01-27,くもり,139377
2020-01-28,くもり,127958
2020-01-29,晴れ,138571
2020-01-30,雨,111776
2020-01-31,雨,125043
2020-02-01,雨,132924
2020-02-02,晴れ,181850
2020-02-03,晴れ,131349
2020-02-04,晴れ,124258
2020-02-05,晴れ,152091
2020-02-06,くもり,129667
2020-02-07,くもり,161238
2020-02-08,くもり,157905
2020-02-09,くもり,150417
2020-02-10,くもり,140798
2020-02-11,くもり,121226
2020-02-12,くもり,117644
2020-02-13,くもり,123332
2020-02-14,くもり,141135
2020-02-15,雨,131029
2020-02-16,晴れ,162046
2020-02-17,晴れ,151708
2020-02-18,晴れ,131061
2020-02-19,晴れ,148897
2020-02-20,くもり,123751
2020-02-21,くもり,137423
2020-02-22,くもり,169680
2020-02-23,晴れ,164042
2020-02-24,晴れ,147099
2020-02-25,晴れ,143463
2020-02-26,晴れ,143389
2020-02-27,くもり,144117
2020-02-28,雨,134845
2020-02-29,くもり,149547
2020-03-01,くもり,143588
2020-03-02,晴れ,156270
2020-03-03,くもり,133614
2020-03-04,晴れ,146476
2020-03-05,晴れ,158154
2020-03-06,晴れ,163772
2020-03-07,晴れ,195902
2020-03-08,くもり,148524
2020-03-09,晴れ,155882
2020-03-10,晴れ,160713
2020-03-11,晴れ,147688
2020-03-12,晴れ,155303
2020-03-13,晴れ,161282
2020-03-14,くもり,169599
2020-03-15,雨,130857
2020-03-16,くもり,150246
2020-03-17,晴れ,154582
2020-03-18,晴れ,150853
2020-03-19,晴れ,147579
2020-03-20,くもり,147624
2020-03-21,晴れ,177135
2020-03-22,晴れ,178444
2020-03-23,くもり,143758
2020-03-24,晴れ,167672
2020-03-25,晴れ,153791
2020-03-26,くもり,145390
2020-03-27,くもり,154699
2020-03-28,くもり,169242
2020-03-29,晴れ,192922
2020-03-30,晴れ,155980
2020-03-31,晴れ,154586
2020-04-01,晴れ,143893
2020-04-02,晴れ,154828
2020-04-03,晴れ,175876
2020-04-04,晴れ,180986
2020-04-05,晴れ,192531
2020-04-06,くもり,134520
2020-04-07,晴れ,147761
2020-04-08,くもり,133119
2020-04-09,くもり,134001
2020-04-10,雨,122136
2020-04-11,晴れ,178889
2020-04-12,晴れ,169993
2020-04-13,晴れ,162357
2020-04-14,くもり,136177
2020-04-15,くもり,141357
2020-04-16,晴れ,175331
2020-04-17,晴れ,178620
2020-04-18,くもり,154453
2020-04-19,くもり,152275
2020-04-20,くもり,142573
2020-04-21,雨,116476
2020-04-22,雨,112119
2020-04-23,くもり,151825
2020-04-24,晴れ,175062
2020-04-25,晴れ,175988
2020-04-26,晴れ,176611
2020-04-27,晴れ,161486
2020-04-28,晴れ,161221
2020-04-29,くもり,132368
2020-04-30,くもり,147719
2020-05-01,晴れ,189456
2020-05-02,晴れ,209084
2020-05-03,晴れ,176562
2020-05-04,晴れ,177702
2020-05-05,晴れ,163906
2020-05-06,晴れ,151175
2020-05-07,くもり,142412
2020-05-08,くもり,165846
2020-05-09,くもり,168593
2020-05-10,くもり,162082
2020-05-11,雨,119872
2020-05-12,晴れ,159631
2020-05-13,雨,121756
2020-05-14,くもり,146642
2020-05-15,雨,142503
2020-05-16,晴れ,189482
2020-05-17,晴れ,168811
2020-05-18,くもり,137195
2020-05-19,雨,119793
2020-05-20,晴れ,169133
2020-05-21,晴れ,170604
2020-05-22,くもり,155342
2020-05-23,晴れ,198444
2020-05-24,晴れ,186721
2020-05-25,晴れ,162837
2020-05-26,晴れ,162480
2020-05-27,晴れ,144578
2020-05-28,晴れ,169872
2020-05-29,晴れ,189794
2020-05-30,晴れ,199695
2020-05-31,くもり,147544
2020-06-01,雨,120484
2020-06-02,雨,126192
2020-06-03,雨,118496
2020-06-04,くもり,142917
2020-06-05,晴れ,175327
2020-06-06,晴れ,201844
2020-06-07,くもり,139507
2020-06-08,くもり,147558
2020-06-09,晴れ,160222
2020-06-10,晴れ,166617
2020-06-11,くもり,141362
2020-06-12,くもり,155839
2020-06-13,雨,148562
2020-06-14,くもり,155384
2020-06-15,くもり,154363
