日付,天気,売り上げ
2015-01-01,雨,114414
2015-01-02,くもり,149385
2015-01-03,くもり,143637
2015-01-04,くもり,142911
2015-01-05,くもり,133395
2015-01-06,くもり,122778
2015-01-07,くもり,141441
2015-01-08,くもり,124890
2015-01-09,くもり,153367
2015-01-10,晴れ,179458
2015-01-11,晴れ,159398
2015-01-12,晴れ,145848
2015-01-13,晴れ,139957
2015-01-14,晴れ,149958
2015-01-15,くもり,129832
2015-01-16,くもり,152352
2015-01-17,くもり,143814
2015-01-18,くもり,150866
2015-01-19,晴れ,146331
2015-01-20,くもり,138423
2015-01-21,くもり,139237
2015-01-22,晴れ,157019
2015-01-23,晴れ,157526
2015-01-24,くもり,153447
2015-01-25,くもり,153261
2015-01-26,くもり,142764
2015-01-27,くもり,125946
2015-01-28,くもり,135088
2015-01-29,晴れ,136085
2015-01-30,雨,125634
2015-01-31,雨,137340
2015-02-01,雨,122802
2015-02-02,晴れ,147442
2015-02-03,晴れ,151977
2015-02-04,晴れ,135286
2015-02-05,晴れ,140760
2015-02-06,くもり,138734
2015-02-07,くもり,161761
2015-02-08,くもり,141807
2015-02-09,くもり,132796
2015-02-10,くもり,136659
2015-02-11,くもり,129730
2015-02-12,くもり,140594
2015-02-13,くもり,144972
2015-02-14,くもり,152146
2015-02-15,雨,123690
2015-02-16,晴れ,138503
2015-02-17,晴れ,149916
2015-02-18,晴れ,165754
2015-02-19,晴れ,153757
2015-02-20,くもり,147143
2015-02-21,くもり,153216
2015-02-22,くもり,149647
2015-02-23,晴れ,158083
2015-02-24,晴れ,139897
2015-02-25,晴れ,141674
2015-02-26,晴れ,154218
2015-02-27,くもり,141535
2015-02-28,雨,120339
2015-03-01,くもり,159588
2015-03-02,くもり,145190
2015-03-03,晴れ,142733
2015-03-04,くもり,136835
2015-03-05,晴れ,175672
2015-03-06,晴れ,165831
2015-03-07,晴れ,182311
2015-03-08,晴れ,175730
2015-03-09,くもり,134544
2015-03-10,晴れ,158832
2015-03-11,晴れ,145593
2015-03-12,晴れ,154909
2015-03-13,晴れ,176394
2015-03-14,晴れ,191864
2015-03-15,くもり,162170
2015-03-16,雨,119376
2015-03-17,くもり,134024
